AEON METALS LIMITED.,AML,Materials
ALEXIUM INTERNATIONAL GROUP LIMITED,AJX,Materials
ALGAE.TEC LIMITED,AEB,Energy
ALICANTO MINERALS LIMITED,AQI,Materials
ALICE QUEEN LIMITED,AQX,Energy
ALKANE RESOURCES LIMITED,ALK,Materials
AZURE MINERALS LIMITED,AZS,Materials
BABY BUNTING GROUP LIMITED,BBN,Retailing
BAILADOR TECHNOLOGY INVESTMENTS LIMITED,BTI,Diversified Financials
BANK OF QUEENSLAND LIMITED.,BOQ,Banks
BANNERMAN RESOURCES LIMITED,BMN,Energy
BAPCOR LIMITED,BAP,Retailing
BARAKA ENERGY & RESOURCES LIMITED,BKP,Energy
BASE RESOURCES LIMITED,BSE,Materials
BASS METALS LTD,BSM,Materials
BASS OIL LIMITED,BAS,Energy
BASSARI RESOURCES LIMITED,BSR,Materials
BATHURST RESOURCES LIMITED.,BRL,Materials
BATTERY MINERALS LIMITED,BAT,Materials
BEACON MINERALS LIMITED,BCN,Materials
BEADELL RESOURCES LIMITED,BDR,Materials
BEGA CHEESE LIMITED,BGA,"Food, Beverage & Tobacco"
BISALLOY STEEL GROUP LIMITED,BIS,Materials
BISAN LIMITED,BSN,Diversified Financials
BKI INVESTMENT COMPANY LIMITED,BKI,Diversified Financials
BKM MANAGEMENT LIMITED,BKM,Commercial & Professional Services
BLACK MOUNTAIN RESOURCES LIMITED,BMZ,Materials
BLACK ROCK MINING LIMITED,BKT,Materials
BLACKWALL PROPERTY TRUST,BWR,Real Estate
BLAZE INTERNATIONAL LIMITED,BLZ,Energy
BLIGH RESOURCES LIMITED,BGH,Materials
BRIERTY LIMITED,BYL,Capital Goods
BRIGHTON MINING GROUP LIMITED,BTN,Materials
BRISBANE BRONCOS LIMITED,BBL,Media
COLLECTION HOUSE LIMITED,CLH,Commercial & Professional Services
QANTAS AIRWAYS LIMITED,QAN,Transportation
SPICERS LIMITED,SRS,Capital Goods
SPIRIT TELECOM LIMITED,ST1,Telecommunication Services
SPITFIRE MATERIALS LTD,SPI,Materials
SPOOKFISH LIMITED,SFI,Software & Services
THREAT PROTECT AUSTRALIA LIMITED,TPS,Energy
THRED LIMITED,THD,Software & Services
UNITED NETWORKS LIMITED,UNL,Telecommunication Services
UNITED OVERSEAS AUSTRALIA LIMITED,UOS,Real Estate
UNIVERSAL BIOSENSORS INC.,UBI,Health Care Equipment & Services
UNIVERSAL COAL PLC,UNV,Energy
UPDATER INC,UPD,Software & Services
URANIUM EQUITIES LIMITED,UEQ,Energy
URANIUM RESOURCES INC,URI,Energy
VELOCITY PROPERTY GROUP LIMITED,VP7,Real Estate